interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
324,1,0,1,0,0,0,4,150,13,2,149,0
325,2,0,1,1,0,0,0,152,13,2,151,0
326,2,0,1,1,0,0,0,152,13,0,151,0
327,1,0,0,1,0,0,0,152,13,0,151,0
328,1,0,1,0,0,0,0,151,14,0,151,0
329,0,0,0,0,0,0,1,151,14,0,151,0
330,1,0,0,1,0,0,0,151,14,0,151,0
331,1,1,0,0,0,0,0,151,14,0,151,0
332,0,0,0,0,0,0,0,151,16,2,151,0
333,2,0,1,1,0,0,0,153,16,2,153,0
334,1,0,1,0,0,0,0,153,16,0,153,0
335,1,0,1,0,0,0,0,153,16,0,153,0
336,1,0,1,0,0,0,0,153,16,0,153,0
337,1,0,1,0,0,0,0,152,17,0,151,0
338,1,0,1,0,0,0,0,152,17,0,151,0
339,1,0,0,1,0,0,0,151,18,0,149,0
340,1,0,0,1,0,0,0,148,23,2,149,0
341,1,0,0,1,0,0,0,150,23,2,150,0
342,1,0,1,0,0,0,0,150,23,0,150,0
343,1,0,0,1,0,0,0,150,23,0,148,0
344,1,1,0,0,0,0,0,148,25,0,148,0
345,1,0,1,0,0,0,0,147,26,0,146,0
346,1,0,1,0,0,0,0,147,27,1,146,0
347,1,1,0,0,0,0,0,146,28,0,146,0
348,1,0,1,0,0,0,0,146,30,2,146,0
349,1,0,0,1,0,0,0,148,30,2,148,0
350,0,0,0,0,0,0,0,148,30,0,148,0
351,1,0,0,1,0,0,0,148,30,0,148,0
352,1,0,1,0,0,0,0,147,31,0,148,0
353,1,0,0,1,0,0,0,147,31,0,147,0
354,0,0,0,0,0,0,1,147,31,0,147,0
355,0,0,0,0,0,0,1,147,31,0,147,0
356,1,0,1,0,0,0,0,147,33,2,147,0
357,1,0,0,1,0,0,0,149,33,2,148,0
358,1,0,1,0,0,0,0,148,34,0,148,0
359,1,0,0,1,0,0,0,148,34,0,148,0
360,47,0,1,0,43,3,0,148,2,0,148,0
361,1,0,0,1,0,0,0,148,2,0,148,0
362,3,1,1,1,0,0,0,148,2,0,148,0
363,1,0,0,1,0,0,0,147,3,0,146,0
364,1,0,1,0,0,0,0,146,6,2,146,0
365,1,0,0,1,0,0,0,147,7,2,146,0
366,1,0,1,0,0,0,0,147,7,0,146,0
367,1,0,1,0,0,0,0,146,8,0,145,0
368,1,0,0,1,0,0,0,145,9,0,145,0
369,0,0,0,0,0,0,1,145,9,0,144,0
370,1,0,0,1,0,0,0,144,10,0,144,0
371,1,0,1,0,0,0,0,144,10,0,144,0
372,1,0,0,1,0,0,0,144,12,2,144,0
373,1,0,0,1,0,0,0,146,12,2,146,0
374,0,0,0,0,0,0,0,146,12,0,146,0
375,1,0,0,1,0,0,0,146,12,0,146,0
376,0,0,0,0,0,0,1,146,12,0,146,0
377,1,0,0,1,0,0,0,146,12,0,146,0
378,1,0,0,1,0,0,0,146,12,0,146,0
379,1,0,0,1,0,0,0,146,12,0,146,0
380,1,1,0,0,0,0,0,146,14,2,146,0
381,3,0,2,1,0,0,0,148,14,2,148,0
382,2,1,1,0,0,0,0,148,14,0,148,0
383,3,1,0,2,0,0,0,148,14,0,148,0
384,1,0,0,1,0,0,0,148,14,0,148,0
385,1,0,0,1,0,0,0,148,14,0,146,0
386,1,0,0,1,0,0,0,146,17,1,144,0
387,1,0,1,0,0,0,0,144,19,0,144,0
388,1,0,1,0,0,0,0,143,22,2,142,0
389,1,0,1,0,0,0,0,145,22,2,144,0
390,1,0,0,1,0,0,0,144,23,0,144,0
391,1,0,0,1,0,0,0,143,24,0,142,0
392,1,0,1,0,0,0,0,143,24,0,142,0
393,1,0,0,1,0,0,0,142,25,0,140,0
394,2,0,1,1,0,0,0,142,25,0,140,0
395,1,0,0,1,0,0,0,140,27,0,140,0
396,1,0,1,0,0,0,0,140,29,2,140,0
397,2,0,1,1,0,0,0,142,29,2,142,0
398,1,0,0,1,0,0,0,142,29,0,142,0
399,0,0,0,0,0,0,1,142,29,0,142,0
400,38,0,0,0,34,4,1,142,2,0,142,0
401,1,0,1,0,0,0,0,140,4,0,138,0
402,1,0,1,0,0,0,0,138,6,0,138,0
403,1,0,0,1,0,0,0,138,6,0,136,0
404,1,0,0,1,0,0,0,136,10,2,136,0
405,1,0,1,0,0,0,0,134,14,2,134,0
406,0,0,0,0,0,0,1,134,14,0,134,0
407,1,0,1,0,0,0,0,134,14,0,134,0
408,1,0,1,0,0,0,0,134,14,0,134,0
409,0,0,0,0,0,0,1,132,16,0,132,0
410,0,0,0,0,0,0,1,132,16,0,132,0
411,0,0,0,0,0,0,0,131,17,0,130,0
412,0,0,0,0,0,0,0,130,20,2,130,0
413,1,0,1,0,0,0,0,132,20,2,132,0
414,2,0,2,0,0,0,0,131,21,0,132,0
415,1,0,1,0,0,0,0,131,21,0,130,0
416,1,0,0,1,0,0,0,130,22,0,130,0
417,1,0,0,1,0,0,0,130,22,0,130,0
418,2,0,1,1,0,0,0,130,22,0,130,0
419,1,0,1,0,0,0,0,130,22,0,130,0
420,1,0,0,1,0,0,0,130,24,2,130,0
421,0,0,0,0,0,0,1,132,24,2,132,0
422,1,1,0,0,0,0,0,132,24,0,132,0
423,1,0,1,0,0,0,0,132,24,0,132,0
424,0,0,0,0,0,0,0,132,24,0,132,0
425,1,0,0,1,0,0,0,132,24,0,132,0
426,1,0,1,0,0,0,0,132,25,1,132,0
427,1,0,1,0,0,0,0,132,25,0,132,0
428,0,0,0,0,0,0,0,132,27,2,132,0
429,1,0,0,1,0,0,0,134,27,3,134,0
430,1,0,1,0,0,0,0,134,27,0,134,0
431,1,0,0,1,0,0,0,134,27,0,133,0
432,1,0,0,0,0,0,0,133,28,0,133,0
433,1,0,1,0,0,0,0,133,28,0,132,0
434,1,0,1,0,0,0,0,132,29,0,132,0
435,2,0,1,1,0,0,0,130,31,0,130,0
436,2,0,1,1,0,0,0,130,33,2,130,0
437,1,0,0,1,0,0,0,131,34,2,130,0
438,1,0,0,1,0,0,0,131,34,0,130,0
439,1,0,1,0,0,0,0,130,35,0,130,0
440,39,0,0,0,34,5,1,130,0,0,130,0
441,0,0,0,0,0,0,0,130,0,0,130,0
