interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
270,2,0,0,0,0,2,1,135,13,0,135,0
271,0,0,0,0,0,0,0,135,17,5,135,0
272,1,0,1,0,0,0,0,134,18,0,134,0
273,1,0,1,0,0,0,0,134,22,4,134,0
274,1,0,0,1,0,0,0,133,23,0,133,0
275,0,0,0,0,0,0,0,133,27,4,133,0
276,0,0,0,0,0,0,0,131,29,0,131,0
277,1,1,0,0,0,0,0,131,33,4,131,0
278,1,0,1,0,0,0,0,129,36,1,131,0
279,0,0,0,0,0,0,0,129,42,6,129,0
280,3,0,0,0,0,2,0,127,31,0,127,0
281,1,0,1,0,0,0,0,127,35,5,127,0
282,0,0,0,0,0,0,0,125,37,0,125,0
283,1,1,0,0,0,0,0,125,41,4,125,0
284,1,0,1,0,0,0,0,124,42,0,124,0
285,0,0,0,0,0,0,0,123,47,4,123,0
286,0,0,0,0,0,0,0,122,48,0,122,0
287,1,0,1,0,0,0,0,121,53,5,121,0
288,0,0,0,0,0,0,0,120,55,1,121,0
289,1,0,0,1,0,0,0,119,60,5,119,0
290,2,0,0,1,0,1,0,118,50,0,118,0
291,1,0,0,1,0,0,0,117,55,4,117,0
292,2,0,1,1,0,0,0,64,108,0,64,0
293,1,0,1,0,0,0,0,66,110,4,66,0
294,0,0,0,0,0,0,1,66,110,0,66,0
295,1,0,1,0,0,0,0,68,112,4,68,0
296,0,0,0,0,0,0,1,68,112,0,68,0
297,0,0,0,0,0,0,0,70,114,5,70,0
298,1,0,0,1,0,0,0,70,115,1,70,0
299,1,0,1,0,0,0,0,72,117,5,72,0
300,215,0,0,0,212,3,1,72,0,0,72,0
301,1,0,1,0,0,0,0,74,2,4,74,0
302,0,0,0,0,0,0,1,74,2,0,74,0
303,1,0,1,0,0,0,0,76,4,5,76,0
304,0,0,0,0,0,0,0,76,4,0,76,0
305,0,0,0,0,0,0,0,78,6,4,78,0
306,0,0,0,0,0,0,0,78,6,0,78,0
307,0,0,0,0,0,0,0,78,9,3,78,0
308,0,0,0,0,0,0,0,80,9,3,80,0
309,1,0,1,0,0,0,0,80,11,2,80,0
310,1,0,0,0,0,1,0,82,0,2,82,0
311,0,0,0,0,0,0,0,82,2,2,82,0
312,1,0,1,0,0,0,0,84,2,2,84,0
313,0,0,0,0,0,0,1,85,4,3,85,0
314,1,0,0,1,0,0,0,87,4,2,87,0
315,1,0,1,0,0,0,0,87,6,2,87,0
316,0,0,0,0,0,0,0,89,6,3,89,0
317,0,0,0,0,0,0,0,89,9,3,89,0
318,0,0,0,0,0,0,1,91,9,2,91,0
319,1,0,1,0,0,0,0,91,11,2,91,0
320,2,0,1,0,0,1,0,93,0,3,93,0
321,1,1,0,0,0,0,0,93,2,2,93,0
322,1,0,1,0,0,0,0,95,2,3,95,0
323,1,1,0,0,0,0,0,94,5,2,94,0
324,1,0,0,1,0,0,0,96,5,2,96,0
325,1,0,1,0,0,0,0,96,7,2,96,0
326,1,0,1,0,0,0,0,98,7,3,98,0
327,0,0,0,0,0,0,0,98,10,3,98,0
328,0,0,0,0,0,0,0,100,10,2,100,0
329,0,0,0,0,0,0,0,100,12,2,100,0
330,2,0,1,0,0,1,0,102,0,3,102,0
331,1,0,0,1,0,0,0,102,2,2,102,0
332,1,0,0,1,0,0,0,104,2,2,104,0
333,0,0,0,0,0,0,0,104,4,2,104,0
334,0,0,0,0,0,0,0,106,4,2,106,0
335,1,0,1,0,0,0,0,106,6,2,106,0
336,0,0,0,0,0,0,0,108,6,2,108,0
337,0,0,0,0,0,0,0,108,9,3,108,0
338,0,0,0,0,0,0,0,110,9,2,110,0
339,1,0,1,0,0,0,0,110,11,2,110,0
340,2,0,1,0,0,1,0,112,0,2,112,0
341,0,0,0,0,0,0,1,112,2,2,112,0
342,1,0,0,1,0,0,0,114,2,2,114,0
343,0,0,0,0,0,0,1,114,4,2,114,0
344,1,0,1,0,0,0,0,116,4,3,116,0
345,0,0,0,0,0,0,0,116,6,2,116,0
346,0,0,0,0,0,0,0,118,6,2,118,0
347,1,0,1,0,0,0,0,118,9,3,118,0
348,0,0,0,0,0,0,0,120,9,2,120,0
349,1,0,1,0,0,0,0,120,11,2,120,0
350,3,0,1,0,0,2,0,122,0,3,122,0
351,0,0,0,0,0,0,0,122,2,2,122,0
352,1,0,1,0,0,0,0,124,2,2,124,0
353,1,0,1,0,0,0,0,124,4,2,124,0
354,1,0,1,0,0,0,0,126,4,2,126,0
355,1,0,0,1,0,0,0,126,6,2,126,0
356,1,0,1,0,0,0,0,128,6,3,128,0
357,1,0,1,0,0,0,0,128,9,3,128,0
358,1,0,1,0,0,0,0,130,9,3,130,0
359,0,0,0,0,0,0,0,130,11,2,130,0
360,3,0,1,0,0,1,0,132,0,2,132,0
