interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
interval, total, insert, update counters, update state, calc, save, queue time, active, finished, insert, update, queue size
196,0,0,0,0,0,0,0,141,24,0,141,0
197,1,0,0,1,0,0,0,143,26,4,143,0
198,1,0,0,1,0,0,0,143,26,0,143,0
199,1,0,0,1,0,0,0,139,30,0,139,0
200,21,0,0,1,16,4,0,137,1,0,137,0
201,1,0,0,1,0,0,0,134,8,4,134,0
202,0,0,0,0,0,0,1,134,8,0,134,0
203,1,0,0,1,0,0,0,132,10,0,132,0
204,1,0,1,0,0,0,0,131,11,0,130,0
205,1,0,1,0,0,0,0,132,14,4,132,0
206,1,0,1,0,0,0,0,131,15,0,130,0
207,0,0,0,0,0,0,0,130,16,0,130,0
208,0,0,0,0,0,0,0,130,16,0,130,0
209,1,0,0,1,0,0,0,132,18,4,132,0
210,0,0,0,0,0,0,0,132,18,0,132,0
211,1,0,1,0,0,0,0,132,18,0,132,0
212,1,0,0,1,0,0,0,132,19,1,132,0
213,1,0,1,0,0,0,0,134,21,4,134,0
214,1,0,1,0,0,0,0,133,22,0,134,0
215,1,0,1,0,0,0,0,133,22,0,132,0
216,1,0,1,0,0,0,0,131,24,0,130,0
217,1,1,0,0,0,0,0,131,28,4,130,0
218,1,0,1,0,0,0,0,130,29,0,130,0
219,0,0,0,0,0,0,1,130,29,0,130,0
220,24,1,0,0,21,2,0,130,0,0,130,0
221,1,0,1,0,0,0,0,132,2,4,132,0
222,1,0,0,1,0,0,0,132,2,0,132,0
223,1,0,0,1,0,0,0,132,2,0,132,0
224,0,0,0,0,0,0,0,132,2,0,132,0
225,1,0,1,0,0,0,0,134,4,4,134,0
226,1,0,0,1,0,0,0,133,5,0,132,0
227,1,0,1,0,0,0,0,131,7,0,130,0
228,0,0,0,0,0,0,1,130,8,0,130,0
229,1,0,0,1,0,0,0,131,11,4,130,0
230,1,1,0,0,0,0,0,128,14,0,128,0
231,1,0,0,1,0,0,0,126,16,0,126,0
232,1,0,1,0,0,0,0,124,19,1,126,0
233,1,0,0,1,0,0,0,126,21,4,124,0
234,0,0,0,0,0,0,0,124,23,0,124,0
235,1,1,0,0,0,0,0,122,25,0,122,0
236,1,0,0,1,0,0,0,120,27,0,120,0
237,1,0,0,1,0,0,0,120,31,5,120,0
238,0,0,0,0,0,0,0,120,31,0,118,0
239,0,0,0,0,0,0,0,118,33,0,118,0
240,58,0,1,0,54,3,0,117,0,0,117,0
241,1,1,0,0,0,0,0,119,2,4,119,0
242,0,0,0,0,0,0,1,118,3,0,118,0
243,1,1,0,0,0,0,0,117,4,0,117,0
244,1,0,0,1,0,0,0,117,4,0,117,0
245,1,1,0,0,0,0,0,119,6,5,119,0
246,1,0,1,0,0,0,0,118,7,0,118,0
247,1,0,1,0,0,0,0,116,9,0,116,0
248,1,1,0,0,0,0,0,115,10,0,115,0
249,1,0,1,0,0,0,0,117,12,4,117,0
250,1,0,1,0,0,0,0,115,14,0,115,0
251,1,0,1,0,0,0,0,114,15,0,114,0
252,1,1,0,0,0,0,0,114,16,1,114,0
253,0,0,0,0,0,0,1,116,18,4,116,0
254,1,0,1,0,0,0,0,116,18,0,116,0
255,0,0,0,0,0,0,1,116,18,0,116,0
256,1,0,0,1,0,0,0,116,18,0,116,0
257,1,0,0,1,0,0,0,118,20,5,118,0
258,1,0,0,1,0,0,0,118,20,0,118,0
259,0,0,0,0,0,0,0,118,20,0,118,0
260,17,0,0,0,15,2,0,118,0,0,118,0
261,0,0,0,0,0,0,0,120,2,4,120,0
262,0,0,0,0,0,0,0,120,2,0,120,0
263,0,0,0,0,0,0,0,120,2,0,120,0
264,0,0,0,0,0,0,0,120,2,0,120,0
265,0,0,0,0,0,0,0,122,4,5,122,0
266,1,0,0,1,0,0,0,122,4,0,122,0
267,1,0,1,0,0,0,0,122,4,0,122,0
268,0,0,0,0,0,0,1,122,4,0,122,0
269,0,0,0,0,0,0,0,124,6,4,124,0
270,0,0,0,0,0,0,0,124,6,0,124,0
271,1,1,0,0,0,0,0,124,6,0,124,0
272,0,0,0,0,0,0,0,124,7,1,124,0
273,1,1,0,0,0,0,0,126,9,4,126,0
274,1,0,1,0,0,0,0,126,11,2,126,0
275,1,0,1,0,0,0,0,126,11,0,126,0
276,1,0,1,0,0,0,0,126,11,0,126,0
277,1,0,0,1,0,0,0,128,13,4,128,0
278,1,0,1,0,0,0,0,128,13,0,128,0
279,1,0,0,0,0,0,0,128,13,0,128,0
280,3,0,0,0,0,2,0,128,0,0,128,0
281,1,0,1,0,0,0,0,129,2,3,129,0
282,1,0,1,0,0,0,0,130,2,1,130,0
283,1,0,0,1,0,0,0,130,2,0,130,0
284,1,0,0,1,0,0,0,130,2,0,130,0
285,1,0,1,0,0,0,0,130,4,2,130,0
286,1,1,0,0,0,0,0,132,4,3,132,0
287,1,0,0,1,0,0,0,132,4,0,132,0
288,1,0,0,1,0,0,0,132,4,0,132,0
289,0,0,0,0,0,0,0,132,6,2,132,0
290,0,0,0,0,0,0,0,134,6,2,134,0
291,1,0,0,1,0,0,0,134,6,0,134,0
292,2,0,1,1,0,0,0,134,7,1,134,0
293,1,0,0,1,0,0,1,134,9,2,134,0
